"gene","STRING_id"
"Hspa1b","10090.ENSMUSP00000133815"
"Hspa9","10090.ENSMUSP00000025217"
"Htt","10090.ENSMUSP00000078945"
"Huwe1","10090.ENSMUSP00000026292"
"Id3","10090.ENSMUSP00000008016"
"Ide","10090.ENSMUSP00000121358"
"Idi1","10090.ENSMUSP00000132780"
"Idnk","10090.ENSMUSP00000060218"
"Ifitm3","10090.ENSMUSP00000026565"
"Ifnar1","10090.ENSMUSP00000023689"
"Ifngr1","10090.ENSMUSP00000020188"
"Ifrd1","10090.ENSMUSP00000001672"
"Igfbp6","10090.ENSMUSP00000023807"
"Igip","10090.ENSMUSP00000147405"
"Ikbkb","10090.ENSMUSP00000033939"
"Il16","10090.ENSMUSP00000001792"
"Il17rb","10090.ENSMUSP00000016110"
"Il1rap","10090.ENSMUSP00000093843"
"Il34","10090.ENSMUSP00000076120"
"Il6ra","10090.ENSMUSP00000029559"
"Ilrun","10090.ENSMUSP00000110513"
"Inka2","10090.ENSMUSP00000069212"
"Ino80b","10090.ENSMUSP00000032109"
"Ino80d","10090.ENSMUSP00000130864"
"Inpp1","10090.ENSMUSP00000027271"
"Insig1","10090.ENSMUSP00000061877"
"Insr","10090.ENSMUSP00000088837"
"Ints10","10090.ENSMUSP00000105871"
