"gene","STRING_id"
"Pacs2","10090.ENSMUSP00000081953"
"Pacsin3","10090.ENSMUSP00000106981"
"Padi2","10090.ENSMUSP00000030765"
"Palm","10090.ENSMUSP00000040596"
"Parp3","10090.ENSMUSP00000108098"
"Paxbp1","10090.ENSMUSP00000113835"
"Pbx2","10090.ENSMUSP00000040464"
"Pcca","10090.ENSMUSP00000038763"
"Pcdh1","10090.ENSMUSP00000055199"
"Pcdh9","10090.ENSMUSP00000141396"
"Pcmtd2","10090.ENSMUSP00000029116"
"Pcnx","10090.ENSMUSP00000021567"
"Pcsk5","10090.ENSMUSP00000025618"
"Pcyt1a","10090.ENSMUSP00000078721"
"Pdap1","10090.ENSMUSP00000031627"
"Pdcd4","10090.ENSMUSP00000073975"
"Pdgfa","10090.ENSMUSP00000075463"
"Pdia6","10090.ENSMUSP00000052912"
"Pdrg1","10090.ENSMUSP00000028972"
"Pds5a","10090.ENSMUSP00000144171"
"Pea15a","10090.ENSMUSP00000013842"
"Per1","10090.ENSMUSP00000021271"
"Per3","10090.ENSMUSP00000099493"
"Pex16","10090.ENSMUSP00000028650"
"Pex19","10090.ENSMUSP00000075289"
"Pfkfb2","10090.ENSMUSP00000066426"
"Phf1","10090.ENSMUSP00000073402"
"Piezo2","10090.ENSMUSP00000040019"
"Pigv","10090.ENSMUSP00000050647"
"Pik3ip1","10090.ENSMUSP00000036921"
"Pik3r2","10090.ENSMUSP00000034296"
"Pim3","10090.ENSMUSP00000044603"
"Plec","10090.ENSMUSP00000073124"
"Plekha1","10090.ENSMUSP00000074675"
"Plekhg5","10090.ENSMUSP00000101286"
"Plgrkt","10090.ENSMUSP00000120466"
"Plk5","10090.ENSMUSP00000044400"
"Plp1","10090.ENSMUSP00000033800"
"Plppr2","10090.ENSMUSP00000038616"
"Plscr3","10090.ENSMUSP00000104273"
"Plxnb1","10090.ENSMUSP00000071966"
"Pmp22","10090.ENSMUSP00000104342"
"Pmpcb","10090.ENSMUSP00000030882"
"Pnn","10090.ENSMUSP00000021381"
"Pnpla2","10090.ENSMUSP00000127149"
"Pnpla6","10090.ENSMUSP00000146680"
"Pnrc1","10090.ENSMUSP00000040377"
"Pnrc2","10090.ENSMUSP00000030436"
"Polb","10090.ENSMUSP00000033938"
"Polr2e","10090.ENSMUSP00000004786"
"Polr3d","10090.ENSMUSP00000137614"
"Por","10090.ENSMUSP00000005651"
"Ppcdc","10090.ENSMUSP00000082856"
"Ppfia1","10090.ENSMUSP00000138312"
"Ppid","10090.ENSMUSP00000029382"
"Ppip5k1","10090.ENSMUSP00000057632"
"Ppl","10090.ENSMUSP00000039360"
"Ppox","10090.ENSMUSP00000072863"
"Ppp1cb","10090.ENSMUSP00000015100"
"Ppp1r15a","10090.ENSMUSP00000128497"
"Ppp1r16b","10090.ENSMUSP00000062615"
"Ppp1r21","10090.ENSMUSP00000048443"
"Ppp1r9a","10090.ENSMUSP00000046906"
"Ppp3ca","10090.ENSMUSP00000053101"
"Ppt1","10090.ENSMUSP00000030412"
"Prep","10090.ENSMUSP00000097444"
"Prex2","10090.ENSMUSP00000027056"
"Prkab2","10090.ENSMUSP00000036410"
"Prkcq","10090.ENSMUSP00000028118"
"Prkcsh","10090.ENSMUSP00000110987"
"Prkn","10090.ENSMUSP00000140587"
"Prmt2","10090.ENSMUSP00000097167"
"Prnp","10090.ENSMUSP00000088833"
"Prr7","10090.ENSMUSP00000046776"
"Prrt1","10090.ENSMUSP00000015620"
"Psmc3","10090.ENSMUSP00000071054"
"Ptbp2","10090.ENSMUSP00000029780"
"Ptms","10090.ENSMUSP00000032216"
"Ptpn21","10090.ENSMUSP00000082197"
"Pttg1ip","10090.ENSMUSP00000009435"
"Pum1","10090.ENSMUSP00000030315"
"Purb","10090.ENSMUSP00000136957"
"Pyroxd1","10090.ENSMUSP00000036394"
"Rab3ip","10090.ENSMUSP00000020375"
"Rabgap1","10090.ENSMUSP00000061624"
"Ralgapa1","10090.ENSMUSP00000082503"
"Ralgds","10090.ENSMUSP00000097812"
"Ranbp1","10090.ENSMUSP00000111309"
"Rap1gds1","10090.ENSMUSP00000096173"
"Rasgef1c","10090.ENSMUSP00000065619"
"Rassf2","10090.ENSMUSP00000028814"
"Rassf4","10090.ENSMUSP00000048267"
"Rbm39","10090.ENSMUSP00000105216"
"Rbmx","10090.ENSMUSP00000110374"
"Rc3h1","10090.ENSMUSP00000124871"
"Rcbtb1","10090.ENSMUSP00000022551"
"Rcor1","10090.ENSMUSP00000112089"
"Reck","10090.ENSMUSP00000030198"
"Rell1","10090.ENSMUSP00000118125"
"Rgcc","10090.ENSMUSP00000022595"
"Rgmb","10090.ENSMUSP00000126177"
"Rhbdf1","10090.ENSMUSP00000020524"
"Ric1","10090.ENSMUSP00000043437"
"Ric3","10090.ENSMUSP00000056990"
"Ring1","10090.ENSMUSP00000025183"
"Rnf130","10090.ENSMUSP00000099837"
"Rnf167","10090.ENSMUSP00000036472"
"Rnpepl1","10090.ENSMUSP00000027487"
"Rock2","10090.ENSMUSP00000020904"
"Rpain","10090.ENSMUSP00000018593"
"Rprd1a","10090.ENSMUSP00000043618"
"Rsrp1","10090.ENSMUSP00000077226"
"Rtn4","10090.ENSMUSP00000099907"
"Rufy3","10090.ENSMUSP00000143302"
"Rusc2","10090.ENSMUSP00000095710"
"S100a6","10090.ENSMUSP00000001051"
"S100a7a","10090.ENSMUSP00000078268"
"S100b","10090.ENSMUSP00000047968"
"Sacm1l","10090.ENSMUSP00000026270"
"Safb","10090.ENSMUSP00000092849"
"Safb2","10090.ENSMUSP00000074953"
"Sap130","10090.ENSMUSP00000025109"
"Sars2","10090.ENSMUSP00000092216"
"Sbf2","10090.ENSMUSP00000033058"
"Scaf1","10090.ENSMUSP00000082501"
"Scd2","10090.ENSMUSP00000026221"
"Scube1","10090.ENSMUSP00000016907"
"Sdc3","10090.ENSMUSP00000065877"
"Sdk2","10090.ENSMUSP00000038972"
"Secisbp2l","10090.ENSMUSP00000055772"
"Selenop","10090.ENSMUSP00000124305"
"Selenow","10090.ENSMUSP00000038943"
"Sema3b","10090.ENSMUSP00000099589"
"Sema3g","10090.ENSMUSP00000087643"
"Sema5a","10090.ENSMUSP00000069024"
"Sema7a","10090.ENSMUSP00000042211"
"Sept9","10090.ENSMUSP00000091435"
"Serhl","10090.ENSMUSP00000077345"
"Serinc1","10090.ENSMUSP00000020027"
